# generated by run.sh -- do not hand-edit
# date: 2026-09-10T05:40:19Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/iteration
cpu: QEMU Virtual CPU version 2.5+
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9321757	        26.11 ns/op	      40 B/op	       2 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2380284	       101.8 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2284898	       103.9 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2350777	       101.7 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2332873	       102.9 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2308056	       103.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2305219	       103.1 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2363233	       101.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2336616	       103.2 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2286770	       103.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2039035	       119.1 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2082399	       115.0 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2175830	       114.9 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 1929604	       124.6 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2057184	       114.8 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2044221	       117.0 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2146113	       112.7 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 1967530	       123.0 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2109921	       115.7 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/A-23             	 2010012	       118.6 ns/op	     264 B/op	       6 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3115632	        75.76 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3223405	        74.79 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3197899	        74.93 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3045949	        75.85 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3242211	        73.14 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3205014	        74.65 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3202356	        74.38 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3204057	        73.85 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3195955	        71.39 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild8/ordered/B-23             	 3254349	        73.77 ns/op	     192 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   30021	      7965 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   30108	      7918 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   30201	      7937 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   30288	      7964 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   30224	      7972 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   29622	      8058 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   29294	      8000 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   29972	      8046 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   29955	      7941 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/A-23        	   29769	      8069 ns/op	   18536 B/op	       6 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30010	      7973 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   29874	      8025 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30189	      7950 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30818	      7896 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   29866	      7961 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30367	      8006 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30386	      7981 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   29802	      8072 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   30544	      7913 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/unordered/B-23        	   29798	      8016 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   73897	      3280 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   72216	      3276 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   72868	      3284 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   71631	      3292 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   72031	      3266 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   71851	      3254 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   73238	      3259 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   75445	      3310 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   71818	      3302 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/A-23          	   71301	      3260 ns/op	   18568 B/op	       6 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   85855	      2984 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   78919	      2941 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   81319	      3006 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   81324	      2994 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   81356	      2981 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   79474	      2953 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   76632	      3032 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   79166	      3001 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   78764	      2988 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABBuild1024/ordered/B-23          	   80526	      2992 ns/op	   18496 B/op	       4 allocs/op
BenchmarkABUnion3/A-23                     	  137338	      1713 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  141742	      1715 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  140336	      1691 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  138559	      1700 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  138049	      1744 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  138157	      1706 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  133790	      1717 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  137947	      1709 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  138618	      1728 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/A-23                     	  136618	      1688 ns/op	    3464 B/op	      14 allocs/op
BenchmarkABUnion3/B-23                     	  154042	      1563 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  154048	      1546 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  156919	      1559 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  153896	      1580 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  158110	      1545 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  152911	      1582 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  151791	      1554 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  154072	      1548 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  156679	      1549 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABUnion3/B-23                     	  149226	      1572 ns/op	    3344 B/op	       8 allocs/op
BenchmarkABItems/A-23                      	 2344858	       100.6 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2393702	       103.7 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2377956	       101.0 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2402188	        98.68 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2465830	        98.65 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2419550	       100.1 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2374906	       101.7 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2409789	       100.1 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2378682	        99.70 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/A-23                      	 2373889	        99.62 ns/op	     232 B/op	       7 allocs/op
BenchmarkABItems/B-23                      	 4075292	        57.56 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4185184	        56.73 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4165981	        58.08 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4236819	        56.90 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4207536	        57.02 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4225060	        57.20 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4188240	        57.39 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4217626	        56.87 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4242325	        57.97 ns/op	     112 B/op	       4 allocs/op
BenchmarkABItems/B-23                      	 4082055	        57.35 ns/op	     112 B/op	       4 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5381599	        44.53 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5527760	        43.68 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5561691	        43.39 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5567833	        43.41 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5523274	        43.86 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5411949	        44.69 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5554252	        43.92 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5490675	        43.10 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5603230	        43.47 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5411422	        43.32 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8363212	        28.53 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8329137	        28.74 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8359752	        29.33 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8400433	        28.94 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8195899	        29.28 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8136381	        28.37 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 7763641	        29.45 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 7881684	        29.35 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8264634	        28.79 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8298486	        28.63 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5778037	        41.42 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5768887	        42.33 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5608755	        41.89 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5762488	        41.51 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5779010	        41.93 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 6019785	        41.58 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5686767	        41.94 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5583241	        42.00 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5750282	        41.56 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5730156	        42.26 ns/op	     120 B/op	       3 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	925835592	         0.2343 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2316 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	668221488	         0.3426 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	908566831	         0.2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2268 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2307 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2291 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2366 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1214277	       197.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1217512	       197.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       202.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1201887	       199.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1204797	       198.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1219443	       196.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1213704	       197.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  206188	      1140 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  202680	      1163 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  211707	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  203301	      1161 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  209784	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  207632	      1138 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  210283	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  206428	      1166 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  211519	      1144 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  210369	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  203586	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  202383	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198189	      1205 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  201868	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  196713	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198744	      1201 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  197746	      1206 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  205200	      1179 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  203422	      1204 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198010	      1204 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  203958	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204043	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204596	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  209469	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  200722	      1178 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204194	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  199941	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  206520	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  205522	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  207264	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  204552	      1182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  200180	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  207583	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  202416	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  202152	      1184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  203260	      1188 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  210813	      1157 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  209280	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  208940	      1147 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  208477	      1151 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  228316	      1118 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  231057	      1124 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  219104	      1145 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  207320	      1159 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  228027	      1123 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  225010	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  225361	      1119 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  228740	      1124 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  211963	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  225642	      1131 ns/op	       0 B/op	       0 allocs/op
